,precision,recall,f1-score,support
MINI Cooper Roadster Convertible 2012,0.9473684210526315,1.0,0.972972972972973,36.0
Maybach Landaulet Convertible 2012,0.9259259259259259,0.8620689655172413,0.8928571428571429,29.0
Mazda Tribute SUV 2011,0.9166666666666666,0.9166666666666666,0.9166666666666666,36.0
McLaren MP4-12C Coupe 2012,0.9347826086956522,0.9772727272727273,0.9555555555555557,44.0
Mercedes-Benz 300-Class Convertible 1993,1.0,0.8958333333333334,0.945054945054945,48.0
Mercedes-Benz C-Class Sedan 2012,0.8571428571428571,0.9333333333333333,0.8936170212765957,45.0
Mercedes-Benz E-Class Sedan 2012,0.8461538461538461,0.7674418604651163,0.8048780487804877,43.0
Mercedes-Benz S-Class Sedan 2012,0.9024390243902439,0.8409090909090909,0.8705882352941177,44.0
Mercedes-Benz SL-Class Coupe 2009,0.9714285714285714,0.9444444444444444,0.9577464788732395,36.0
Mercedes-Benz Sprinter Van 2012,0.8222222222222222,0.9024390243902439,0.8604651162790697,41.0
Mitsubishi Lancer Sedan 2012,0.9361702127659575,0.9361702127659575,0.9361702127659575,47.0
Nissan 240SX Coupe 1998,0.8461538461538461,0.9565217391304348,0.8979591836734695,46.0
Nissan Juke Hatchback 2012,1.0,0.9090909090909091,0.9523809523809523,44.0
Nissan Leaf Hatchback 2012,0.9743589743589743,0.9047619047619048,0.9382716049382716,42.0
Nissan NV Passenger Van 2012,1.0,0.9736842105263158,0.9866666666666666,38.0
Plymouth Neon Coupe 1999,0.9545454545454546,0.9545454545454546,0.9545454545454546,44.0
Porsche Panamera Sedan 2012,0.9302325581395349,0.9302325581395349,0.9302325581395349,43.0
Ram C-V Cargo Van Minivan 2012,0.8181818181818182,0.8780487804878049,0.8470588235294119,41.0
Rolls-Royce Ghost Sedan 2012,0.9210526315789473,0.9210526315789473,0.9210526315789473,38.0
Rolls-Royce Phantom Drophead Coupe Convertible 2012,1.0,0.8666666666666667,0.9285714285714286,30.0
Rolls-Royce Phantom Sedan 2012,0.926829268292683,0.8636363636363636,0.8941176470588236,44.0
Scion xD Hatchback 2012,1.0,0.926829268292683,0.9620253164556963,41.0
Spyker C8 Convertible 2009,0.9523809523809523,0.8888888888888888,0.9195402298850575,45.0
Spyker C8 Coupe 2009,0.9411764705882353,0.7619047619047619,0.8421052631578947,42.0
